"","x"
"1985-08-29",-126899.999999999
"1985-09-03",-1245985
"1985-09-05",487770
"1985-09-13",-265056
"1985-09-16",-878940
"1985-09-24",1793737.5
"1985-10-01",224360.000000001
"1985-10-02",-392872.499999999
"1985-10-03",-761600
"1985-10-14",-500430.000000001
"1985-10-29",-434160
"1985-11-05",288540
"1985-11-25",-461100
"1985-11-27",3523130
"1985-12-04",-58230
"1985-12-09",-1848360
"1985-12-10",-126799.999999999
"1985-12-18",-333870
"1985-12-26",-145526.199999999
"1985-12-27",-190200.000000001
"1986-01-03",3003432.5
"1986-01-08",115502.5
"1986-01-09",115035.000000002
"1986-01-10",1657850
"1986-01-24",-197400
"1986-01-27",-812400.000000001
"1986-02-03",-1896627.5
"1986-02-05",139199.999999996
"1986-02-26",-4789.99999999973
"1986-03-13",2179320
"1986-03-24",2649107.5
"1986-03-27",-800631.999999999
"1986-03-31",-401740
"1986-04-01",-780974.999999999
"1986-04-02",-335699.999999999
"1986-04-04",446875
"1986-04-07",4668036
"1986-04-11",404140.000000001
"1986-04-16",-892143.999999999
"1986-04-22",1193680.00000002
"1986-04-23",2489548.75
"1986-04-30",-2570490
"1986-05-01",1726380
"1986-05-02",50040
"1986-05-16",419372.5
"1986-05-20",-172220.000000001
"1986-05-22",-267030
"1986-06-02",-131820
"1986-06-09",-321840
"1986-06-10",-835380
"1986-06-12",-66494.9999999988
"1986-06-27",-296805
"1986-06-30",-488640
"1986-07-07",-478974.999999999
"1986-07-11",-166470
"1986-07-15",-285987.5
"1986-08-05",-1980991.8
"1986-08-14",-649890
"1986-08-18",-842509.999999999
"1986-08-19",1708720
"1986-09-02",328829.999999999
"1986-09-05",-376477.5
"1986-09-08",843865.000000001
"1986-09-09",3992850
"1986-09-11",684930
"1986-09-23",-1662490
"1986-09-26",2039700
"1986-09-29",-482020
"1986-10-17",-652369.999999997
"1986-10-21",370880
"1986-10-23",-626679.999999998
"1986-10-27",-493000
"1986-10-30",-723330.000000001
"1986-11-10",-44552.5
"1986-11-11",308870
"1986-12-04",1118255
"1986-12-09",-117260.000000001
"1986-12-17",-621937.5
"1986-12-26",-915797.5
"1987-01-09",-924375
"1987-01-19",317285
"1987-01-27",926189.999999999
"1987-02-06",-780202.500000002
"1987-02-10",293987.5
"1987-02-11",2531019.99999999
"1987-02-13",647360
"1987-02-17",728660.800000001
"1987-02-18",123405
"1987-03-03",-830439.999999998
"1987-03-09",-594765
"1987-03-30",-1084023.75
"1987-03-31",-449514.999999998
"1987-04-01",-468534.999999999
"1987-04-13",872250
"1987-04-14",-473870.000000003
"1987-04-27",6554730
"1987-05-07",-618829.999999993
"1987-05-18",818182.500000001
"1987-05-22",-1175720
"1987-05-26",5291725.00000004
"1987-06-12",538927.5
"1987-06-19",-983385
"1987-06-22",-758880
"1987-07-06",-964760
"1987-07-24",1782240
"1987-08-07",-2444515
"1987-08-17",3157800
"1987-08-18",-841360.000000001
"1987-08-21",1348530
"1987-08-28",-847469.999999996
"1987-09-01",565295
"1987-09-02",3143745
"1987-09-08",1362387
"1987-09-10",-613120
"1987-09-25",602770
"1987-10-19",-738160.000000001
"1987-10-20",-2243891.25000001
"1987-10-21",-520348.750000001
"1987-10-26",8330
"1987-10-27",6061040
"1987-11-02",-492750.000000001
"1987-11-16",2309108.75
"1987-11-23",1440765
"1987-11-27",143055
"1987-12-04",2404690
"1987-12-15",618930
"1987-12-16",-1212070
"1987-12-22",697909.999999999
"1987-12-23",-691649.999999999
"1988-01-04",-514910
"1988-01-05",720559.999999996
"1988-01-11",102415.999999999
"1988-01-13",-361920
"1988-01-29",485280
"1988-02-02",-454860
"1988-02-23",-442020
"1988-02-25",-276390
"1988-03-04",1432215
"1988-03-09",-469860
"1988-03-11",-306000
"1988-03-15",-427040
"1988-03-21",718163.749999994
"1988-03-23",-1007760
"1988-03-25",-516520.000000002
"1988-03-28",439634.999999997
"1988-04-07",2467170
"1988-04-12",-526015
"1988-04-14",-675209.999999999
"1988-04-15",-330150
"1988-05-17",-478040
"1988-05-18",-509219.999999998
"1988-05-19",-25277.5000000007
"1988-05-27",-700874.999999999
"1988-06-03",-372802.5
"1988-06-06",2914340.00000001
"1988-06-08",265950
"1988-06-16",-43400
"1988-06-24",-707680.000000003
"1988-06-28",-1172470
"1988-06-29",12054817.5
"1988-07-01",504799.999999999
"1988-07-18",-708960
"1988-07-20",-543600.000000002
"1988-07-21",-977985
"1988-07-22",2422220
"1988-07-25",-1494375
"1988-07-26",-1028560
"1988-09-01",-687959.999999998
"1988-09-02",-1227763.74999998
